ID,URL,Title,Author,Date
0,https://www.theverge.com/2023/4/11/23678458/alibaba-has-its-own-chatgpt-competitor,Alibaba has its own ChatGPT competitor. - The Verge,James Vincent,2023/04/11
1,https://www.theverge.com/2023/4/11/23678456/apples-27-inch-mini-led-monitor-now-rumored-for-2024,Apple’s 27-inch Mini LED monitor now rumored for 2024. - The Verge,Thomas Ricker,2023/04/11
2,https://www.theverge.com/2023/4/11/23678446/microsoft-is-teasing-plug-ins-for-bing-chat,Microsoft is teasing plug-ins for Bing Chat. - The Verge,Tom Warren,2023/04/11
3,https://www.theverge.com/2023/4/11/23678434/jack-black-singing-peaches-is-everything,Jack Black singing Peaches is everything. - The Verge,Thomas Ricker,2023/04/11
4,https://www.theverge.com/2023/4/10/23678221/cyberpunk-2077s-new-overdrive-mode-makes-the-game-look-incredible,Cyberpunk 2077’s new “Overdrive Mode” makes the game look incredible. - The Verge,Jay Peters,2023/04/11
5,https://www.theverge.com/2023/4/10/23678195/katie-cotton-apples-former-pr-chief-has-died,"Katie Cotton, Apple’s former PR chief, has died. - The Verge",Jay Peters,2023/04/11
6,https://www.theverge.com/2023/4/10/23678096/spacex-updates-its-mars-mission-demo-reel,SpaceX updates its Mars mission demo reel. - The Verge,Richard Lawler,2023/04/10
7,https://www.theverge.com/2023/4/10/23677891/metas-paid-verification-service-requires-your-legal-name-to-be-public,Meta’s paid verification service requires your legal name to be public. - The Verge,Mia Sato,2023/04/10
8,https://www.theverge.com/2023/4/10/23677949/x-ray-vision-magnetic-battery-pack-that-doubles-as-a-game-system-edition,"X-ray vision, magnetic-battery-pack-that-doubles as-a-game-system edition. - The Verge",Sean Hollister,2023/04/10
9,https://www.theverge.com/2023/4/10/23677919/a-new-free-book-about-steve-jobs-is-coming-out-tomorrow,"A new, free book about Steve Jobs is coming out tomorrow. - The Verge",Jay Peters,2023/04/10
10,https://www.theverge.com/2023/4/10/23677905/uh-oh-gemini,"Uh oh, Gemini. - The Verge",Elizabeth Lopatto,2023/04/10
11,https://www.theverge.com/2023/4/10/23677586/system-update,System update. - The Verge,Richard Lawler,2023/04/10
12,https://www.theverge.com/2023/4/10/23677663/hollywoods-writers-could-strike-and-you-should-be-paying-attention,"Hollywood’s writers could strike, and you should be paying attention. - The Verge",Charles Pulliam-Moore,2023/04/10
13,https://www.theverge.com/2023/4/10/23677635/robotaxis-are-blocking-bus-lanes-and-delaying-riders-in-san-francisco,Robotaxis are blocking bus lanes and delaying riders in San Francisco. - The Verge,Andrew J. Hawkins,2023/04/10
14,https://www.theverge.com/2023/4/10/23677570/30-to-50-feral-hogs-try-3-4-million,30 to 50 feral hogs? Try 3.4 million. - The Verge,Kevin Nguyen,2023/04/10
15,https://www.theverge.com/2023/4/10/23677619/because-tom-wambsgans-uses-a-samsung-phone,Because Tom Wambsgans uses a Samsung phone. - The Verge,Dan Seifert,2023/04/10
16,https://www.theverge.com/2023/4/10/23677588/i-love-cars-history-will-hate-me-for-it,I love cars. History will hate me for it. - The Verge,T.C. Sottek,2023/04/10
17,https://www.theverge.com/2023/4/10/23677536/the-legend-of-zelda-tears-of-physical-therapy,The Legend of Zelda: Tears of Physical Therapy - The Verge,Ash Parrish,2023/04/10
